type	subType	formed	componentA	componentB	pK	temperature	source	warning	active
acidoBasic		HIO3	IO3-	H+	0.8				yes
acidoBasic		HOCN	OCN-	H+	3.48				yes
acidoBasic		HBrO	BrO-	H+	8.6				yes
acidoBasic		CH2ClCO2H	CH2ClCO2-	H+	2.89				yes
acidoBasic		C6H5COOH	C6H5COO-	H+	4.2				yes
acidoBasic		C6H5NH3+	C6H5NH2	H+	4.6				yes
acidoBasic		C2H5COOH	C2H5COO-	H+	4.87				yes
acidoBasic		C5H5NH+	C5H5N	H+	5.25				yes
acidoBasic		CH3NH3+	CH3NH2	H+	10.66				yes
acidoBasic		(C2H5)3NH+	(C2H5)3N	H+	10.75				yes
acidoBasic		C2H5NH3+	C2H5NH2	H+	10.8				yes
acidoBasic		HClO4	ClO4-	H+	-7		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
acidoBasic		HBr	Br-	H+	-9				yes
acidoBasic		HI	I-	H+	-10				yes
acidoBasic		HCl	Cl-	H+	-3		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
acidoBasic		H2SO4	HSO4-	H+	-3		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
acidoBasic		HNO3	NO3-	H+	-1		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
acidoBasic		H3O+	H2O	H+	0		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		no
acidoBasic		H2SO3	HSO3-	H+	1.8		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
acidoBasic		HSO4-	SO4--	H+	1.9		https://ressources.univ-lemans.fr/AccesLibre/UM/Pedago/chimie/06/deug/CHIM105B/pdf/sem2pka.pdf		yes
