transition	name	pH1	pH2	color1	color2	source
first transition (acid)	bromothymol blue	0	0	#ff0088	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
first transition (acid)	cresol red	0	1	#ff0000	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	gentian violet	0	1.6	#ffff00	#b516e9	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
first transition (acid)	malachite green	0.2	1.8	#ffff00	#00aaaa	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
first transition (acid)	thymol blue	1.2	2.8	#ff0000	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	methyl yellow	2.9	4	#ff0000	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	bromophenol blue	3	4.6	#ffff00	#ee82ee	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	Congo red	3	5.2	#0000ff	#ff0000	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	methyl orange	3.1	4.4	#ff0000	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	screened methyl orange	3.2	4.2	#ff00ff	#00ff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	bromocresol green	3.8	5.4	#ffff00	#0033ff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	methyl red	4.2	6.3	#ff0000	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	litmus	4.5	8.3	#ff0000	#0000ff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	bromocresol purple	5.2	6.8	#ffff00	#ee82ee	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
second transition (base)	bromothymol blue	6	7.6	#ffff00	#0033ff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	phenol red	6.6	8	#ffff00	#ff0000	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	neutral red	6.8	8	#ff0000	#ffcc00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
second transition (base)	cresol red	7.2	8.8	#ffff00	#ff0000	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
second transition (base)	thymol blue	8	9.6	#ffff00	#0000ff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	phenolphthalein	8.2	10	#ffffff	#ffc0cb	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	thymolphthalein	9.4	10.6	#ffffff	#0000ff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	alizarin yellow R	10.1	12	#ffff00	#ff3300	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	alizarin	11	12.4	#ff0000	#ee82ee	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
single transition	indigo carmine	11.4	13	#0000ff	#ffff00	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
second transition (base)	malachite green	11.5	13.2	#00aaaa	#ffffff	https://docs.google.com/spreadsheets/d/1gTa_Sd4rdoZAs-G08PPf6LtM954vp_QHio9m0mYNamU
